Index,Prod_id
322,338525
323,338867
324,338875
325,338902
326,338905
327,339509
328,339661
329,339783
330,339971
331,339981
332,340004
333,340056
334,340173
335,340199
336,340203
337,340290
338,340382
339,340405
340,340703
341,340707
342,340717
343,341009
344,341424
345,341425
346,341639
347,343235
348,343900
349,343911
350,344175
351,344337
352,344375
353,344443
354,344475
355,344478
356,344481
357,344508
358,344546
359,344548
360,344550
361,344620
362,344658
363,344791
364,344862
365,344885
366,344984
367,344992
368,345002
369,345004
370,345241
371,345244
372,345250
373,345318
374,345342
375,345348
376,345351
377,345355
378,345380
379,345385
380,359135
381,359139
382,359144
383,359147
384,359383
385,359397
386,359415
387,359420
388,359438
389,359643
390,359649
391,359668
392,359680
393,359684
394,359686
395,359687
396,359693
397,359703
398,359718
399,359736
400,359742
401,359788
402,359816
403,359826
404,359831
405,359839
406,359863
407,359866
408,359875
409,359908
410,359915
411,359940
412,359961
413,361087
414,361143
415,361150
416,361214
417,361326
418,363317
419,363459
420,363529
421,363531
422,363535
423,364128
424,364884
425,364891
426,364893
427,364899
428,364901
429,364910
430,364980
431,364983
432,364986
433,364988
434,364993
435,364996
436,365000
437,365032
438,365035
439,365038
440,365046
441,365053
442,365057
443,365274
444,366928
445,366941
446,367005
447,367010
448,367023
449,367101
450,367335
451,367383
452,367385
453,367392
454,367714
455,368129
456,368143
457,368350
458,368424
459,369381
460,369399
461,370537
462,370936
463,370945
464,370966
465,371428
466,371433
467,371436
468,371448
469,371457
470,371460
471,371464
472,371470
473,371853
474,371942
475,372598
476,372647
477,373164
478,374432
479,374438
480,374497
481,374498
482,374499
483,374502
484,374528
485,374531
486,374532
487,374540
488,374563
489,374658
490,374661
491,374663
492,374664
493,374985
494,375006
495,375044
496,375046
497,375386
498,375401
499,375421
500,375429
501,375595
502,375601
503,375608
504,375619
505,375683
506,375814
507,375823
508,376017
509,376020
510,376037
511,376045
512,376059
513,376061
514,376069
515,376085
516,376634
517,376723
518,376752
519,377378
520,377379
521,377679
522,380145
523,380170
524,381956
525,382292
526,382356
527,383356
528,383488
529,383624
530,383640
531,384905
532,386797
533,386866
534,387064
535,387073
536,387092
537,387443
538,387452
539,387453
540,387455
541,387456
542,387465
543,387466
544,387467
545,387468
546,388256
547,388258
548,388259
549,388260
550,388393
551,388394
552,388395
553,388396
554,388398
555,388399
556,388401
557,388402
558,388403
559,388404
560,388405
561,388406
562,388420
563,390848
564,390855
565,392789
566,392791
567,392799
568,392804
569,392809
570,392821
571,392835
572,392878
573,392888
574,392893
575,392918
576,392962
577,392992
578,393261
579,393281
580,393282
581,393294
582,393296
583,397420
584,398812
585,398817
586,398818
587,398819
588,398831
589,398832
590,398835
591,398836
592,400473
593,400627
594,400629
595,400636
596,400638
597,400640
598,400641
599,400642
600,402998
601,403012
602,403046
603,403048
604,404032
605,404911
606,405037
607,405357
608,406473
609,406515
610,406517
611,408416
612,412489
613,412703
614,413343
615,413412
616,413419
617,413421
618,413422
